price_paid,address,lat,lon
235000, 172 THOMAS DRIVE LIVERPOOL L14 3LE,53.409064,-2.900404
235000, 112 BROAD GREEN ROAD LIVERPOOL L13 4BR,53.407359,-2.902616
234000, 44 CHURCH ROAD LIVERPOOL L13 2BA,53.413032,-2.923991
233000, 87 CHILDWALL ROAD LIVERPOOL L15 6UR,53.39716,-2.907271
230000, 62 BARNHAM DRIVE LIVERPOOL L16 5ES,53.397207,-2.880525
230000, 47 SOUTH BARCOMBE ROAD LIVERPOOL L16 7QE,53.396166,-2.884795
230000, 9 OXBOW ROAD LIVERPOOL L12 0AF,53.438977,-2.885387
230000, 71 SOUTH BARCOMBE ROAD LIVERPOOL L16 7QE,53.395563,-2.886142
230000, 60 THINGWALL HALL DRIVE LIVERPOOL L14 5PF,53.412277,-2.889768
230000, 14 GENERAL DRIVE LIVERPOOL L12 4ZB,53.432922,-2.890235
230000, 78 ROCKY LANE LIVERPOOL L16 1JD,53.403883,-2.892895
230000, 108 FALLBROOK DRIVE LIVERPOOL L12 5NA,53.441387,-2.905485
230000, 6 MARFORD ROAD LIVERPOOL L12 5HH,53.430806,-2.909334
230000, 52 NORTH DRIVE LIVERPOOL L15 8JQ,53.400163,-2.915886
230000, 14 UPPINGHAM ROAD LIVERPOOL L13 7BJ,53.424387,-2.920061
230000, 45 RANELAGH STREET LIVERPOOL L1 1JR,53.40538,-2.978845
230000,APARTMENT 1202 37 STRAND STREET LIVERPOOL L1 8ND,53.403208,-2.990473
230000,APARTMENT 1004 37 STRAND STREET LIVERPOOL L1 8ND,53.403208,-2.990473
229500, 3 WHINFELL ROAD LIVERPOOL L12 2AS,53.422794,-2.903577
229000, 3 FERNDALE ROAD LIVERPOOL L15 3JY,53.392009,-2.929165
228000, 77 TOWERS ROAD LIVERPOOL L16 8NU,53.394092,-2.896508
228000, 53 NOOK RISE LIVERPOOL L15 7JB,53.402541,-2.904124
227500, 3 CHILTERN CLOSE LIVERPOOL L12 0NT,53.447758,-2.875102
